,rowhref,rowtitle,viewcount,reply
0,https://forums.moneysavingexpert.com/discussion/4896481/small-biz-charities-moneysaving-board-please-read-for-links-to-important-topics,Small Biz & Charities Moneysaving Board - please read for links to important topics,58.5K,11
1,https://forums.moneysavingexpert.com/discussion/6279394/when-to-register-for-self-assessment,When to register for self assessment,16,2
2,https://forums.moneysavingexpert.com/discussion/6279068/public-liability-insurance,Public liability insurance,43,4
3,https://forums.moneysavingexpert.com/discussion/6278112/virtual-office-address,Virtual office Address,55,4
4,https://forums.moneysavingexpert.com/discussion/6276684/converting-part-of-private-property-into-shop-and-cafe,Converting part of private property into shop and cafe,302,11
5,https://forums.moneysavingexpert.com/discussion/6275407/credit-card-machines,Credit card machines,94,4
6,https://forums.moneysavingexpert.com/discussion/6277881/i-am-a-small-business-representative,I am a small business representative.,52,1
7,https://forums.moneysavingexpert.com/discussion/6271679/struggling-to-get-ltd-company-bank-account,Struggling to get LTD company bank account,143,5
8,https://forums.moneysavingexpert.com/discussion/6277276/getting-an-overdue-invoice-paid,Getting an overdue invoice paid!,64,2
9,https://forums.moneysavingexpert.com/discussion/6275575/advice-needed-small-shareholder-business-being-sold,"Advice needed, small shareholder, business being sold",106,5
10,https://forums.moneysavingexpert.com/discussion/6275391/correct-spreadsheets-for-charity-gift-aid-claims,Correct spreadsheets for Charity Gift aid claims,22,4
11,https://forums.moneysavingexpert.com/discussion/6275321/business-account-access,Business account access,45,3
12,https://forums.moneysavingexpert.com/discussion/6274675/where-to-tick-on-vat-registration-zero-rate,Where to tick on VAT registration zero rate?,44,7
13,https://forums.moneysavingexpert.com/discussion/6188069/crm-system,CRM System,125,5
14,https://forums.moneysavingexpert.com/discussion/6251779/advice-on-setting-up-e-commerce-website-selling-children-clothes,advice on setting up e-commerce website selling children clothes,184,7
15,https://forums.moneysavingexpert.com/discussion/6273384/new-car-wash-making-my-life-a-misery,New Car Wash Making My Life A Misery,536,7
16,https://forums.moneysavingexpert.com/discussion/6267564/how-to-find-out-if-a-sole-trader-has-to-give-name-address-and-email-on-website,"How to find out if a sole trader has to give name, address and email on website?",393,17
17,https://forums.moneysavingexpert.com/discussion/6272374/low-income-self-employed-can-i-get-any-help,Low income self employed. Can I get any help?,105,2
18,https://forums.moneysavingexpert.com/discussion/6272266/accountant-says-doesnt-need-to-sign-nda,Accountant says doesnt need to sign NDA?,273,10
19,https://forums.moneysavingexpert.com/discussion/6273283/board-room-display-eligible-for-super-deduction,Board Room Display - Eligible for super-deduction?,21,1
20,https://forums.moneysavingexpert.com/discussion/6177722/checking-out-not-for-profit-organisation-before-donation,Checking out not for profit Organisation before donation,82,3
21,https://forums.moneysavingexpert.com/discussion/6269765/policies-for-website,Policies for website,94,5
22,https://forums.moneysavingexpert.com/discussion/6268458/creditsafe-renewal-issues,Creditsafe Renewal Issues,35,2
23,https://forums.moneysavingexpert.com/discussion/6269925/changing-accountants-how-to-minimise-disruption,Changing Accountants - how to minimise disruption?,91,6
24,https://forums.moneysavingexpert.com/discussion/6268705/payroll-companies-for-small-business,Payroll companies for small business,52,2
25,https://forums.moneysavingexpert.com/discussion/6269760/empty-business-property-sudden-increase-in-deemed-standing-charge,Empty business property sudden increase in deemed standing charge,52,1
26,https://forums.moneysavingexpert.com/discussion/6269715/small-business-question,Small business question,65,2
27,https://forums.moneysavingexpert.com/discussion/6268724/small-biz-tax-return,Small biz tax return,75,3
28,https://forums.moneysavingexpert.com/discussion/6267050/should-i-move-funds-from-sole-trader-to-new-ltd-company,Should I move funds from Sole Trader to new Ltd company?,75,6
29,https://forums.moneysavingexpert.com/discussion/6219513/business-to-business-letter-before-action,Business - to - Business Letter Before Action,732,28
30,https://forums.moneysavingexpert.com/discussion/6267991/self-assessment-employed-pt-and-self-employed-under-1k,Self Assessment - Employed PT and Self Employed (under £1k),42,1
31,https://forums.moneysavingexpert.com/discussion/6266697/issues-with-being-paid-for-using-our-house-as-film-set,Issues with being paid for using our house as film set,661,18
32,https://forums.moneysavingexpert.com/discussion/6265934/web-designer-helping-out-a-friend,Web designer helping out a friend,172,8
33,https://forums.moneysavingexpert.com/discussion/6266839/pet-treats,Pet treats?,111,5
34,https://forums.moneysavingexpert.com/discussion/6266798/confused-about-company-ltd-tax,Confused about company LTD tax,94,8
35,https://forums.moneysavingexpert.com/discussion/6266617/looking-for-an-electricity-supplier-for-a-small-shop,Looking for an electricity supplier for a small shop,31,2
36,https://forums.moneysavingexpert.com/discussion/6266218/paye-software-on-ipad,PAYE software on ipad,42,2
37,https://forums.moneysavingexpert.com/discussion/6265787/business-partnership-guidance,Business Partnership Guidance,31,2
38,https://forums.moneysavingexpert.com/discussion/6264802/can-a-sole-trader-keep-the-same-business-bank-account-if-they-incorporate,Can a sole trader keep the same business bank account if they incorporate?,132,7
39,https://forums.moneysavingexpert.com/discussion/6265105/cis-and-vat-reserve-charge,Cis and Vat reserve Charge,51,1
40,https://forums.moneysavingexpert.com/discussion/6264555/invoicing-software,Invoicing software,42,1
41,https://forums.moneysavingexpert.com/discussion/6263635/waste-disposal,Waste disposal,246,20
42,https://forums.moneysavingexpert.com/discussion/6264363/tax-return-for-small-business,Tax return for small business,72,2
43,https://forums.moneysavingexpert.com/discussion/6262724/a-curiosity-one-on-vat-box-7-on-vat-return,A curiosity one on vat box 7 on VAT return.,91,3
44,https://forums.moneysavingexpert.com/discussion/6263776/checking-and-improving-business-credit-score,Checking and improving business credit score.,52,2
45,https://forums.moneysavingexpert.com/discussion/6259881/best-carrier-for-a-heavy-package-price-vs-reliability,"Best carrier for a heavy package, price vs reliability...",61,3
46,https://forums.moneysavingexpert.com/discussion/6263773/micro-entity-accounts,Micro-Entity Accounts,61,2
47,https://forums.moneysavingexpert.com/discussion/6263376/startup-business-terms,Startup business terms,84,2
48,https://forums.moneysavingexpert.com/discussion/6261979/challenging-business-rateable-value-lock-up-garage,Challenging Business Rateable Value 'Lock Up Garage',132,10
49,https://forums.moneysavingexpert.com/discussion/6262919/sole-trader-advice,Sole trader advice,101,3
50,https://forums.moneysavingexpert.com/discussion/6260915/partners-business-registered-at-my-address-implications,Partner's business registered at my address... implications?,323,13
51,https://forums.moneysavingexpert.com/discussion/6260551/vat-can-i-backdate-after-registering-ltd-company,VAT - Can I backdate after registering ltd company?,82,1
52,https://forums.moneysavingexpert.com/discussion/6260002/grants,Grants,121,1
53,https://forums.moneysavingexpert.com/discussion/6259719/retailing-from-an-office-premises,Retailing from an office premises,81,1
54,https://forums.moneysavingexpert.com/discussion/6256998/domain-names-and-web-hosting,Domain names and web hosting,102,4
55,https://forums.moneysavingexpert.com/discussion/6259361/is-it-possible-to-register-a-cio-charity-without-a-bank-account,Is it possible to register a CIO/charity without a bank account?,63,0
56,https://forums.moneysavingexpert.com/discussion/6219053/small-business-accounting-software,small business accounting software,257,5
57,https://forums.moneysavingexpert.com/discussion/6249068/going-from-hobby-business-to-self-employed,Going from Hobby business to self employed,295,10
58,https://forums.moneysavingexpert.com/discussion/6258946/quickbooks-sa-question,Quickbooks SA Question,21,0
59,https://forums.moneysavingexpert.com/discussion/6258488/treasurers-accounts,Treasurer's accounts,104,1
60,https://forums.moneysavingexpert.com/discussion/6255977/starting-a-ltd-company,Starting a Ltd company,222,10
61,https://forums.moneysavingexpert.com/discussion/6257919/unincorporated-group,Unincorporated group,71,4
62,https://forums.moneysavingexpert.com/discussion/6214471/accounts-package-similar-to-quicken,Accounts package similar to Quicken,92,7
63,https://forums.moneysavingexpert.com/discussion/6257561/keeping-myself-right-re-ssp-sickpay-from-1-employer-while-working-my-small-business,Keeping myself right RE: SSP/Sickpay from 1 employer while working my small business.,82,2
64,https://forums.moneysavingexpert.com/discussion/6254649/vat-for-small-businesses,VAT for small businesses,152,7
65,https://forums.moneysavingexpert.com/discussion/6257547/a-tax-question-from-a-new-business-owner,A tax question from a new business owner,51,0
66,https://forums.moneysavingexpert.com/discussion/6256913/changing-accounts-year-end-to-minimise-tax,Changing accounts year end to minimise tax,81,3
67,https://forums.moneysavingexpert.com/discussion/6256054/cash-basis-can-i-add-one-expense-from-6-4-to-current-fiscal-year,Cash basis - can I add one expense from 6/4 to current fiscal year?,102,2
68,https://forums.moneysavingexpert.com/discussion/6254650/ltd-company-from-2017-how-far-back-can-i-claim-expenses,Ltd company from 2017 how far back can I claim expenses?,163,12
69,https://forums.moneysavingexpert.com/discussion/6255033/any-idea-what-this-accountant-acronym-might-stand-for-on-a-vat-return-fuel-per-sdb,"Any idea what this accountant acronym might stand for on a VAT return ""Fuel per SDB""",192,9
70,https://forums.moneysavingexpert.com/discussion/6255664/recruitment-websites,Recruitment websites,81,11
71,https://forums.moneysavingexpert.com/discussion/6255548/data-privacy-customer-moaning,Data privacy - Customer moaning,143,3
72,https://forums.moneysavingexpert.com/discussion/6254700/delays-at-ports-for-imports,Delays at Ports for Imports,61,1
73,https://forums.moneysavingexpert.com/discussion/6251836/someone-reselling-my-product-without-permission,Someone reselling my product without permission,1.3K,31
74,https://forums.moneysavingexpert.com/discussion/6254522/construction-industry-scheme-cis,Construction Industry Scheme (CIS),31,2
75,https://forums.moneysavingexpert.com/discussion/6214877/paying-for-business-banking-am-i-being-a-tight-wad,Paying for business banking - am I being a tight wad?!,961,18
76,https://forums.moneysavingexpert.com/discussion/6226838/operating-a-business-from-home-considerations,Operating a business from home - considerations,393,12
77,https://forums.moneysavingexpert.com/discussion/6252367/cheap-registered-office-provider-for-uk-ltd-co,Cheap registered office provider for UK Ltd Co.,41,2
78,https://forums.moneysavingexpert.com/discussion/6212968/200-monthly-cost-for-a-good-account-for-a-small-business-ok,£200 - Monthly cost for a good account for a small business OK?,491,11
79,https://forums.moneysavingexpert.com/discussion/6253098/pay-pension-as-employee-contribution-or-company-contribution-to-increase-wage-to-get-mortgage,"Pay Pension as Employee Contribution or Company Contribution To ""Increase"" wage to get mortgage.",71,3
80,https://forums.moneysavingexpert.com/discussion/6252860/annual-leave-for-the-year,Annual leave for the year,122,6
81,https://forums.moneysavingexpert.com/discussion/6250975/closing-a-small-business-access-to-money,Closing a small business - access to money.,141,4
82,https://forums.moneysavingexpert.com/discussion/6246812/company-amex-card,Company amex card,91,6
83,https://forums.moneysavingexpert.com/discussion/6248772/anyone-taken-out-a-directors-loan,Anyone taken out a directors loan?,171,4
84,https://forums.moneysavingexpert.com/discussion/6249470/how-to-sell-a-business,How to sell a business,161,6
85,https://forums.moneysavingexpert.com/discussion/6250797/complicated-to-me-structure-organisation-and-expenses-of-a-new-business,"Complicated (to me) structure, organisation and expenses of a new business.",121,3
86,https://forums.moneysavingexpert.com/discussion/6247596/ico-information-commissioners-office-scam,ICO Information Commissioner's Office SCAM?,1.2K,8
87,https://forums.moneysavingexpert.com/discussion/6249194/sole-trader-no-vat-invoice-in-euros-accounts-online-classes-training-only,Sole Trader / NO VAT / Invoice in Euros / Accounts / Online Classes / Training ONLY,121,12
88,https://forums.moneysavingexpert.com/discussion/6248886/can-someone-invoice-you-for-the-previous-5-years-of-work-out-of-the-blue,Can someone invoice you for the previous 5 years of work? Out of the blue!,281,3
89,https://forums.moneysavingexpert.com/discussion/6248525/volunteers-at-a-ltd-company,Volunteers at a Ltd. company?,131,2
90,https://forums.moneysavingexpert.com/discussion/6248881/employment-and-self-assessment,Employment and Self Assessment,31,0
91,https://forums.moneysavingexpert.com/discussion/6248798/starting-up-self-assessment-questions,Starting up- Self Assessment Questions,41,0
92,https://forums.moneysavingexpert.com/discussion/6248312/virtual-event-management-help,Virtual Event Management Help,31,0
93,https://forums.moneysavingexpert.com/discussion/6248147/franchise-solicitor-help,Franchise Solicitor help,41,0
94,https://forums.moneysavingexpert.com/discussion/6247673/how-far-back-can-you-claim-expenses,How far back can you claim expenses?,81,6
95,https://forums.moneysavingexpert.com/discussion/6247858/am-i-calculating-this-wrong,Am I calculating this wrong?,71,1
96,https://forums.moneysavingexpert.com/discussion/6245745/options-for-getting-a-business-phone-number-for-a-very-small-business-2-people,Options for getting a business phone number for a very small business (2 people),162,12
97,https://forums.moneysavingexpert.com/discussion/6244349/ecommerce-returns-warehouse,Ecommerce returns warehouse,202,12
98,https://forums.moneysavingexpert.com/discussion/6245037/created-a-private-limited-company-forgot-about-it-now-have-to-file-accounts,"Created a private limited company, forgot about it, now have to file accounts",161,1
99,https://forums.moneysavingexpert.com/discussion/6245245/paying-back-business-expenses-to-my-personal-credit-card,Paying back business expenses to my personal credit card,81,4
100,https://forums.moneysavingexpert.com/discussion/6244319/no-reduction-in-business-insurance-cost,No reduction in business insurance cost,51,4
